name,current_version,latest_version,security_issues
@aws-sdk/client-sts,3.529.1,Unknown,No
@aws-sdk/credential-provider-env,3.357.0,Unknown,No
@aws-sdk/credential-provider-node,3.360.0,Unknown,No
@aws-sdk/credential-provider-process,3.357.0,Unknown,No
@aws-sdk/credential-provider-sso,3.360.0,Unknown,No
@aws-sdk/credential-provider-web-identity,3.357.0,Unknown,No
@aws-sdk/middleware-host-header,3.523.0,Unknown,No
@aws-sdk/middleware-logger,3.523.0,Unknown,No
@aws-sdk/middleware-recursion-detection,3.523.0,Unknown,No
@aws-sdk/middleware-signing,3.357.0,Unknown,No
@aws-sdk/middleware-user-agent,3.525.0,Unknown,No
@aws-sdk/region-config-resolver,3.525.0,Unknown,No
@aws-sdk/types,3.357.0,Unknown,No
@aws-sdk/util-endpoints,3.525.0,Unknown,No
@aws-sdk/util-user-agent-browser,3.523.0,Unknown,No
@aws-sdk/util-user-agent-node,3.525.0,Unknown,No
@babel/code-frame,7.16.7,Unknown,No
@babel/generator,7.17.9,Unknown,No
@babel/helper-define-polyfill-provider,0.3.1,Unknown,No
@babel/helper-plugin-utils,7.16.7,Unknown,No
@babel/helper-validator-identifier,7.16.7,Unknown,No
@babel/parser,7.17.9,Unknown,No
@babel/plugin-proposal-object-rest-spread,7.17.3,Unknown,No
@babel/plugin-syntax-jsx,7.12.1,Unknown,No
@babel/types,7.17.0,Unknown,No
@colors/colors,1.5.0,Unknown,No
@jest/transform,27.5.1,Unknown,No
@jest/types,27.5.1,Unknown,No
@nodelib/fs.stat,2.0.5,Unknown,No
@oclif/command,1.8.16,Unknown,No
@oclif/config,1.18.3,Unknown,No
@sentry/core,7.106.0,Unknown,No
@sentry/hub,6.13.3,Unknown,No
@sentry/minimal,6.13.3,Unknown,No
@sentry/types,6.13.3,Unknown,No
@sentry/utils,6.13.3,Unknown,No
@smithy/abort-controller,2.1.4,Unknown,No
@smithy/config-resolver,2.1.5,Unknown,No
@smithy/credential-provider-imds,2.0.18,Unknown,No
@smithy/eventstream-codec,2.1.4,Unknown,No
@smithy/fetch-http-handler,2.4.4,Unknown,No
@smithy/hash-node,2.1.4,Unknown,No
@smithy/invalid-dependency,2.1.4,Unknown,No
@smithy/is-array-buffer,2.1.1,Unknown,No
@smithy/middleware-content-length,2.1.4,Unknown,No
@smithy/middleware-endpoint,2.4.6,Unknown,No
@smithy/middleware-retry,2.1.6,Unknown,No
@smithy/middleware-serde,2.2.1,Unknown,No
@smithy/middleware-stack,2.1.4,Unknown,No
@smithy/node-config-provider,2.2.5,Unknown,No
@smithy/node-http-handler,2.4.2,Unknown,No
@smithy/property-provider,2.1.4,Unknown,No
@smithy/protocol-http,3.2.2,Unknown,No
@smithy/querystring-builder,2.0.12,Unknown,No
@smithy/service-error-classification,2.0.5,Unknown,No
@smithy/shared-ini-file-loader,2.2.2,Unknown,No
@smithy/signature-v4,2.1.4,Unknown,No
@smithy/smithy-client,2.4.4,Unknown,No
@smithy/types,2.11.0,Unknown,No
@smithy/url-parser,2.1.4,Unknown,No
@smithy/util-base64,2.2.0,Unknown,No
@smithy/util-body-length-browser,2.1.1,Unknown,No
@smithy/util-body-length-node,2.2.1,Unknown,No
@smithy/util-buffer-from,2.0.0,Unknown,No
@smithy/util-config-provider,2.2.1,Unknown,No
@smithy/util-defaults-mode-browser,2.1.6,Unknown,No
@smithy/util-defaults-mode-node,2.2.6,Unknown,No
@smithy/util-hex-encoding,2.0.0,Unknown,No
@smithy/util-middleware,2.1.4,Unknown,No
@smithy/util-retry,2.1.4,Unknown,No
@smithy/util-stream,2.1.4,Unknown,No
@smithy/util-uri-escape,2.0.0,Unknown,No
@smithy/util-utf8,2.2.0,Unknown,No
@storybook/csf,0.0.2--canary.7c6c115.0,Unknown,No
@types/node,17.0.25,Unknown,No
@types/ws,8.5.4,Unknown,No
@webassemblyjs/ast,1.11.1,Unknown,No
@webassemblyjs/helper-api-error,1.11.1,Unknown,No
@webassemblyjs/helper-buffer,1.11.1,Unknown,No
@webassemblyjs/helper-wasm-bytecode,1.11.1,Unknown,No
@webassemblyjs/ieee754,1.11.1,Unknown,No
@webassemblyjs/leb128,1.11.1,Unknown,No
@webassemblyjs/utf8,1.11.1,Unknown,No
@webassemblyjs/wasm-edit,1.11.1,Unknown,No
@webassemblyjs/wasm-gen,1.11.1,Unknown,No
@webassemblyjs/wasm-parser,1.11.1,Unknown,No
@webassemblyjs/wast-printer,1.9.0,Unknown,No
@wry/context,0.7.0,Unknown,No
acorn,8.7.0,8.14.0,No
acorn-walk,7.2.0,8.3.4,No
ajv,6.12.6,8.17.1,No
ajv-keywords,3.5.2,5.1.0,No
ansi-escapes,4.3.2,7.0.0,No
ansi-regex,5.0.1,6.1.0,No
ansi-styles,4.3.0,6.2.1,No
anymatch,3.1.2,3.1.3,No
aproba,1.2.0,2.0.0,No
arg,4.1.3,5.0.2,No
array-union,1.0.2,3.0.1,No
arrify,1.0.1,3.0.0,No
async,3.2.3,3.2.6,No
axe-core,4.4.1,4.10.2,No
babel-plugin-polyfill-corejs3,0.5.2,0.11.0,No
bluebird,3.7.2,3.7.2,No
bn.js,4.12.0,5.2.1,No
braces,2.3.2,3.0.3,No
buffer,4.9.2,6.0.3,No
bytes,3.0.0,3.1.2,No
call-bind,1.0.2,1.0.8,No
callsites,3.1.0,4.2.0,No
camelcase,5.3.1,8.0.0,No
camelcase-keys,6.2.2,9.1.3,No
chalk,4.1.2,5.3.0,No
chokidar,3.5.3,4.0.1,No
chownr,2.0.0,3.0.0,No
ci-info,3.3.0,4.1.0,No
clean-stack,3.0.1,5.2.0,No
cli-cursor,3.1.0,5.0.0,No
cli-ux,5.6.7,6.0.9,No
cli-width,3.0.0,4.1.0,No
color-convert,1.9.3,2.0.1,No
color-name,1.1.4,2.0.0,No
colorette,2.0.16,2.0.20,No
commander,2.20.3,12.1.0,No
compression,1.7.4,1.7.5,No
cookie,0.4.2,1.0.2,No
cosmiconfig,7.0.1,9.0.0,No
cross-spawn,6.0.5,7.0.6,No
debug,4.3.4,4.4.0,No
deepmerge,4.2.2,4.3.1,No
define-property,0.2.5,2.0.2,No
doctrine,3.0.0,3.0.0,No
dot-prop,5.3.0,9.0.0,No
emoji-regex,9.2.2,10.4.0,No
enhanced-resolve,5.9.3,5.17.1,No
escape-string-regexp,1.0.5,5.0.0,No
eslint-scope,5.1.1,8.2.0,No
eslint-visitor-keys,3.3.0,4.2.0,No
estraverse,5.3.0,5.3.0,No
events,3.3.0,3.3.0,No
execa,5.1.1,9.5.2,No
extend-shallow,2.0.1,3.0.2,No
extsprintf,1.3.0,1.4.1,No
fast-glob,3.2.11,3.3.2,No
fast-levenshtein,2.0.6,3.0.0,No
figures,2.0.0,6.1.0,No
find-cache-dir,3.3.2,5.0.0,No
find-up,5.0.0,7.0.0,No
form-data,3.0.1,4.0.1,No
fs-extra,9.1.0,11.2.0,No
fsevents,2.3.2,2.3.3,No
function-bind,1.1.1,1.1.2,No
get-intrinsic,1.1.1,1.2.6,No
get-stream,5.2.0,9.0.1,No
glob,7.2.0,11.0.0,No
glob-parent,5.1.2,6.0.2,No
glob-to-regexp,0.4.1,0.4.1,No
globals,11.12.0,15.13.0,No
globby,11.1.0,14.0.2,No
graceful-fs,4.2.10,4.2.11,No
graphql-tag,2.12.6,2.12.6,No
has-flag,4.0.0,5.0.1,No
html-minifier-terser,6.1.0,7.2.0,No
http-errors,1.8.1,2.0.0,No
icss-utils,5.1.0,5.1.0,No
ieee754,1.2.1,1.2.1,No
ignore,5.2.0,6.0.2,No
import-fresh,3.3.0,3.3.0,No
indent-string,4.0.0,5.0.0,No
inherits,2.0.4,2.0.4,No
ini,1.3.8,5.0.0,No
inquirer,7.3.3,12.2.0,No
interpret,2.2.0,3.1.1,No
is-buffer,1.1.6,2.0.5,No
is-descriptor,1.0.2,3.1.1,No
is-extendable,0.1.1,1.0.1,No
is-fullwidth-code-point,3.0.0,5.0.0,No
is-glob,4.0.3,4.0.3,No
is-number,3.0.0,7.0.0,No
is-path-inside,3.0.3,4.0.0,No
is-plain-object,2.0.4,5.0.0,No
is-stream,2.0.1,4.0.1,No
is-wsl,2.2.0,3.1.0,No
isarray,1.0.0,2.0.5,No
isobject,3.0.1,4.0.0,No
jest-haste-map,27.5.1,29.7.0,No
jest-matcher-utils,27.5.1,29.7.0,No
jest-regex-util,27.5.1,29.6.3,No
jest-util,27.5.1,29.7.0,No
jest-worker,27.5.1,29.7.0,No
js-yaml,3.14.1,4.1.0,No
jsesc,2.5.2,3.1.0,No
json-buffer,3.0.1,3.0.1,No
json5,2.2.1,2.2.3,No
jsonfile,6.1.0,6.1.0,No
keyv,4.2.2,5.2.2,No
kind-of,6.0.3,6.0.3,No
levn,0.4.1,0.4.1,No
loader-runner,4.3.0,4.3.0,No
loader-utils,2.0.2,3.3.1,No
log-symbols,4.1.0,7.0.0,No
lowercase-keys,2.0.0,3.0.0,No
lru-cache,6.0.0,11.0.2,No
make-dir,3.1.0,5.0.0,No
map-obj,1.0.1,5.0.2,No
memory-fs,0.4.1,0.5.0,No
meow,8.1.2,13.2.0,No
micromatch,4.0.5,4.0.8,No
mime-db,1.52.0,1.53.0,No
mime-types,2.1.35,2.1.35,No
mimic-fn,3.1.0,5.0.0,No
mimic-response,1.0.1,4.0.0,No
minimatch,3.1.2,10.0.1,No
mkdirp,0.5.6,3.0.1,No
moment,2.29.1,2.30.1,No
ms,2.1.3,2.1.3,No
mute-stream,0.0.8,2.0.0,No
normalize-package-data,2.5.0,7.0.0,No
normalize-path,3.0.0,3.0.0,No
normalize-url,6.1.0,8.0.1,No
npm-run-path,4.0.1,6.0.0,No
onetime,5.1.2,7.0.0,No
open,7.4.2,10.1.0,No
p-limit,2.3.0,6.1.0,No
p-map,2.1.0,7.0.3,No
parse-json,5.2.0,8.1.0,No
path-exists,3.0.0,5.0.0,No
path-key,2.0.1,4.0.0,No
path-type,4.0.0,6.0.0,No
pg-connection-string,2.5.0,2.7.0,No
pg-pool,3.5.1,3.7.0,No
pg-protocol,1.5.0,1.7.0,No
picocolors,0.2.1,1.1.1,No
pify,4.0.1,6.1.0,No
pkg-dir,4.2.0,8.0.0,No
postcss,7.0.39,8.4.49,No
postcss-modules-extract-imports,3.0.0,3.1.0,No
postcss-modules-local-by-default,4.0.0,4.2.0,No
postcss-modules-scope,3.0.0,3.2.1,No
postcss-modules-values,4.0.0,4.0.0,No
prelude-ls,1.1.2,1.2.1,No
pretty-format,27.5.1,29.7.0,No
pump,3.0.0,3.0.2,No
punycode,2.1.1,2.3.1,No
qs,6.10.3,6.13.1,No
querystring,0.2.0,0.2.1,No
range-parser,1.2.1,1.2.1,No
react-fast-compare,2.0.4,3.2.2,No
react-is,16.13.1,19.0.0,No
read-pkg-up,7.0.1,11.0.0,No
readable-stream,2.3.7,4.5.2,No
redent,3.0.0,4.0.0,No
regenerator-runtime,0.13.9,0.14.1,No
registry-auth-token,4.2.1,5.0.3,No
registry-url,5.1.0,6.0.1,No
resolve,1.22.0,1.22.9,No
resolve-from,5.0.0,5.0.0,No
responselike,2.0.0,3.0.0,No
rimraf,3.0.2,6.0.1,No
rxjs,6.6.7,7.8.1,No
safe-buffer,5.2.1,5.2.1,No
schema-utils,3.1.1,4.3.0,No
semver,7.3.7,7.6.3,No
serialize-javascript,6.0.0,6.0.2,No
setprototypeof,1.2.0,1.2.0,No
slash,3.0.0,5.1.0,No
slice-ansi,4.0.0,7.1.0,No
source-map,0.6.1,0.7.4,No
split2,3.2.2,4.2.0,No
statuses,1.5.0,2.0.1,No
string-width,4.2.3,7.2.0,No
string_decoder,1.3.0,1.3.0,No
strip-ansi,6.0.1,7.1.0,No
strip-bom,3.0.0,5.0.0,No
strip-indent,3.0.0,4.0.0,No
strip-json-comments,3.1.1,5.0.1,No
supports-color,7.2.0,9.4.0,No
symbol-observable,1.2.0,4.0.0,No
tapable,2.2.1,2.2.1,No
terser,5.12.1,5.37.0,No
terser-webpack-plugin,5.3.1,5.3.11,No
through2,4.0.2,4.0.2,No
tmp,0.2.1,0.2.3,No
ts-invariant,0.4.4,0.10.3,No
tslib,2.5.3,2.8.1,No
type-check,0.3.2,0.4.0,No
type-fest,0.20.2,4.30.1,No
universalify,2.0.0,2.0.1,No
util.promisify,1.1.1,1.1.2,No
vscode-uri,1.0.6,3.0.8,No
watchpack,2.3.1,2.4.2,No
webidl-conversions,6.1.0,7.0.0,No
webpack-dev-middleware,3.7.3,7.4.2,No
webpack-sources,1.4.3,3.2.3,No
webpack-virtual-modules,0.2.2,0.6.2,No
whatwg-url,8.7.0,14.1.0,No
which,2.0.2,5.0.0,No
winston-transport,4.5.0,4.9.0,No
wrap-ansi,6.2.0,9.0.0,No
ws,8.11.0,8.18.0,No
y18n,5.0.8,5.0.8,No
yallist,4.0.0,5.0.0,No
yargs,16.2.0,17.7.2,No
yargs-parser,20.2.9,21.1.1,No
@airtm/airtm-ui,1.8.116,Unknown,No
@airtm/utils,13.6.0,Unknown,No
@apollo/client,3.7.10,Unknown,No
@sentry/react,6.13.3,Unknown,No
@sentry/tracing,6.13.3,Unknown,No
apollo-link-sentry,1.3.1,4.0.0,No
apollo-upload-client,16.0.0,18.0.1,No
apollo3-cache-persist,0.13.0,0.15.0,No
bem-classname,0.1.1,0.1.1,No
bignumber.js,9.0.2,9.1.2,No
classnames,2.3.1,2.5.1,No
date-fns,2.28.0,4.1.0,No
date-fns-tz,1.0.10,3.2.0,No
formik,2.2.9,2.4.6,No
graphql,15.8.0,16.9.0,No
i18next,20.6.1,24.1.0,No
i18next-browser-languagedetector,6.1.4,8.0.2,No
i18next-locize-backend,4.3.0,7.0.1,No
jpegasus,1.16.1,1.16.1,No
jwt-decode,3.1.2,4.0.0,No
leanplum-sdk,1.10.0,1.13.0,No
locize,2.2.5,3.3.0,No
lodash.debounce,4.0.8,4.0.8,No
lodash.flowright,3.5.0,3.5.0,No
lodash.isequal,4.5.0,4.5.0,No
lodash.range,3.2.0,3.2.0,No
piexif-ts,2.0.16,2.1.0,No
pretty-bytes,6.1.0,6.1.1,No
prop-types,15.8.1,15.8.1,No
query-string,6.14.1,9.1.1,No
react,16.14.0,19.0.0,No
react-copy-to-clipboard,5.1.0,5.1.0,No
react-dom,16.14.0,19.0.0,No
react-dropzone,14.2.3,14.3.5,No
react-geetest-captcha,1.0.3,1.0.3,No
react-helmet,5.2.1,6.1.0,No
react-i18next,11.16.7,15.2.0,No
react-router-dom,5.1.2,7.0.2,No
unfetch,4.2.0,5.0.0,No
uuid,8.3.2,11.0.3,No
yup,0.32.11,1.5.0,No
@airtm/test-utils,8.19.0,Unknown,No
@airtm/upload-whitelisted-queries,3.0.4,Unknown,No
@babel/core,7.17.9,Unknown,No
@babel/eslint-parser,7.17.0,Unknown,No
@babel/plugin-transform-runtime,7.17.0,Unknown,No
@babel/preset-env,7.16.11,Unknown,No
@babel/preset-react,7.16.7,Unknown,No
@babel/preset-typescript,7.16.7,Unknown,No
@babel/runtime,7.16.3,Unknown,No
@commitlint/config-conventional,16.2.1,Unknown,No
@graphql-eslint/eslint-plugin,3.14.3,Unknown,No
@pmmmwh/react-refresh-webpack-plugin,0.5.5,Unknown,No
@sentry/webpack-plugin,1.18.8,Unknown,No
@storybook/addon-actions,6.5.0-alpha.62,Unknown,No
@storybook/addon-essentials,6.5.0-alpha.62,Unknown,No
@storybook/addon-links,6.5.0-alpha.62,Unknown,No
@storybook/builder-webpack5,6.5.0-alpha.62,Unknown,No
@storybook/manager-webpack5,6.5.0-alpha.62,Unknown,No
@storybook/react,6.5.0-alpha.62,Unknown,No
@testing-library/dom,7.31.2,Unknown,No
@testing-library/jest-dom,5.14.1,Unknown,No
@testing-library/react,10.4.9,Unknown,No
@testing-library/react-hooks,7.0.2,Unknown,No
@testing-library/user-event,13.5.0,Unknown,No
@types/chance,1.1.3,Unknown,No
@types/facebook-js-sdk,3.3.5,Unknown,No
@types/fork-ts-checker-webpack-plugin,0.4.5,Unknown,No
@types/react-copy-to-clipboard,5.0.7,Unknown,No
@types/react-router-dom,5.3.3,Unknown,No
@types/webpack,5.28.0,Unknown,No
@types/webpack-dev-server,4.7.2,Unknown,No
@typescript-eslint/eslint-plugin,5.20.0,Unknown,No
@typescript-eslint/parser,5.20.0,Unknown,No
apollo,2.33.10,2.34.0,No
babel-loader,8.2.5,9.2.1,No
chance,1.1.8,1.1.12,No
clean-webpack-plugin,4.0.0,4.0.0,No
commitlint,16.2.3,19.6.0,No
copy-webpack-plugin,9.1.0,12.0.2,No
css-loader,6.7.1,7.1.2,No
dotenv-flow,3.2.0,4.1.0,No
env-cmd,8.0.2,10.1.0,No
eslint,8.13.0,9.17.0,No
eslint-config-airbnb,19.0.4,19.0.4,No
eslint-config-airbnb-typescript,16.2.0,18.0.0,No
eslint-config-prettier,8.5.0,9.1.0,No
eslint-formatter-summary,1.1.0,1.1.0,No
eslint-import-resolver-babel-module,5.3.1,5.3.2,No
eslint-import-resolver-typescript,2.7.1,3.7.0,No
eslint-plugin-import,2.26.0,2.31.0,No
eslint-plugin-jest,26.1.4,28.9.0,No
eslint-plugin-jsx-a11y,6.5.1,6.10.2,No
eslint-plugin-react,7.29.4,7.37.2,No
eslint-plugin-react-hooks,4.4.0,5.1.0,No
eslint-plugin-storybook,0.5.8,0.11.1,No
fork-ts-checker-webpack-plugin,6.5.1,9.0.2,No
html-loader,3.1.0,5.1.0,No
html-webpack-plugin,5.5.0,5.6.3,No
husky,7.0.4,9.1.7,No
jest,27.5.1,29.7.0,No
jest-junit,13.2.0,16.0.0,No
jest-sonar,0.2.12,0.2.16,No
jest-transform-graphql,2.1.0,2.1.0,No
lint-staged,12.4.0,15.2.11,No
lodash.merge,4.6.2,4.6.2,No
mini-css-extract-plugin,1.6.2,2.9.2,No
msw,0.36.8,2.6.8,No
prettier,2.6.2,3.4.2,No
react-refresh,0.9.0,0.16.0,No
serve,13.0.2,14.2.4,No
storybook-addon-apollo-client,4.0.11,7.3.0,No
storybook-react-i18next,1.0.20,3.1.8,No
style-loader,3.3.1,4.0.0,No
ts-jest,27.1.4,29.2.5,No
ts-node,10.7.0,10.9.2,No
tsconfig-paths-webpack-plugin,3.5.2,4.2.0,No
webpack,5.72.0,5.97.1,No
webpack-bundle-analyzer,4.5.0,4.10.2,No
webpack-cli,4.9.2,5.1.4,No
webpack-dev-server,4.8.1,5.2.0,No
webpack-merge,5.8.0,6.0.1,No
@airtm/logger,8.20.0,Unknown,No
@airtm/normalize-graphql-query,1.1.0,Unknown,No
@ampproject/remapping,2.1.2,Unknown,No
@apollographql/apollo-tools,0.5.3,Unknown,No
@aws-crypto/crc32,3.0.0,Unknown,No
@aws-crypto/sha256-browser,3.0.0,Unknown,No
@aws-crypto/sha256-js,3.0.0,Unknown,No
@aws-sdk/client-dynamodb,3.360.0,Unknown,No
@aws-sdk/client-s3,3.529.1,Unknown,No
@aws-sdk/client-sso,3.360.0,Unknown,No
@aws-sdk/core,3.529.1,Unknown,No
@aws-sdk/credential-provider-imds,3.357.0,Unknown,No
@aws-sdk/credential-provider-ini,3.360.0,Unknown,No
@aws-sdk/lib-dynamodb,3.360.0,Unknown,No
@aws-sdk/property-provider,3.357.0,Unknown,No
@aws-sdk/protocol-http,3.357.0,Unknown,No
@aws-sdk/shared-ini-file-loader,3.357.0,Unknown,No
@aws-sdk/signature-v4,3.357.0,Unknown,No
@aws-sdk/token-providers,3.360.0,Unknown,No
@aws-sdk/util-middleware,3.357.0,Unknown,No
@babel/compat-data,7.17.7,Unknown,No
@babel/helper-compilation-targets,7.17.7,Unknown,No
@babel/helper-module-imports,7.16.7,Unknown,No
@babel/helper-module-transforms,7.17.7,Unknown,No
@babel/helper-validator-option,7.16.7,Unknown,No
@babel/helpers,7.17.9,Unknown,No
@babel/highlight,7.17.9,Unknown,No
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.16.7,Unknown,No
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.16.7,Unknown,No
@babel/plugin-proposal-async-generator-functions,7.16.8,Unknown,No
@babel/plugin-proposal-class-properties,7.16.7,Unknown,No
@babel/plugin-proposal-class-static-block,7.17.6,Unknown,No
@babel/plugin-proposal-dynamic-import,7.16.7,Unknown,No
@babel/plugin-proposal-export-namespace-from,7.16.7,Unknown,No
@babel/plugin-proposal-json-strings,7.16.7,Unknown,No
@babel/plugin-proposal-logical-assignment-operators,7.16.7,Unknown,No
@babel/plugin-proposal-nullish-coalescing-operator,7.16.7,Unknown,No
@babel/plugin-proposal-numeric-separator,7.16.7,Unknown,No
@babel/plugin-proposal-optional-catch-binding,7.16.7,Unknown,No
@babel/plugin-proposal-optional-chaining,7.16.7,Unknown,No
@babel/plugin-proposal-private-methods,7.16.11,Unknown,No
@babel/plugin-proposal-private-property-in-object,7.16.7,Unknown,No
@babel/plugin-proposal-unicode-property-regex,7.16.7,Unknown,No
@babel/plugin-syntax-async-generators,7.8.4,Unknown,No
@babel/plugin-syntax-class-properties,7.12.13,Unknown,No
@babel/plugin-syntax-class-static-block,7.14.5,Unknown,No
@babel/plugin-syntax-dynamic-import,7.8.3,Unknown,No
@babel/plugin-syntax-export-namespace-from,7.8.3,Unknown,No
@babel/plugin-syntax-json-strings,7.8.3,Unknown,No
@babel/plugin-syntax-logical-assignment-operators,7.10.4,Unknown,No
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,Unknown,No
@babel/plugin-syntax-numeric-separator,7.10.4,Unknown,No
@babel/plugin-syntax-object-rest-spread,7.8.3,Unknown,No
@babel/plugin-syntax-optional-catch-binding,7.8.3,Unknown,No
@babel/plugin-syntax-optional-chaining,7.8.3,Unknown,No
@babel/plugin-syntax-private-property-in-object,7.14.5,Unknown,No
@babel/plugin-syntax-top-level-await,7.14.5,Unknown,No
@babel/plugin-transform-arrow-functions,7.16.7,Unknown,No
@babel/plugin-transform-async-to-generator,7.16.8,Unknown,No
@babel/plugin-transform-block-scoped-functions,7.16.7,Unknown,No
@babel/plugin-transform-block-scoping,7.16.7,Unknown,No
@babel/plugin-transform-classes,7.16.7,Unknown,No
@babel/plugin-transform-computed-properties,7.16.7,Unknown,No
@babel/plugin-transform-destructuring,7.17.7,Unknown,No
@babel/plugin-transform-dotall-regex,7.16.7,Unknown,No
@babel/plugin-transform-duplicate-keys,7.16.7,Unknown,No
@babel/plugin-transform-exponentiation-operator,7.16.7,Unknown,No
@babel/plugin-transform-for-of,7.16.7,Unknown,No
